Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
D300418:bin_000013	81.41	1.94	Gradient Boost (General Model)	11	0.871	6434	292.8390854184642	2332804	0.55	2318	None
D300418:bin_000017	83.46	5.33	Gradient Boost (General Model)	11	0.906	16266	312.5977291159773	2547828	0.58	2466	None
D300419:bin_000008	84.03	2.1	Gradient Boost (General Model)	11	0.876	7642	270.3089108910891	2332485	0.58	2525	None
D300423:bin_000007	93.57	4.45	Neural Network (Specific Model)	11	0.9	28286	315.6094936708861	3316869	0.49	3160	None
D300423:bin_000011	88.45	0.69	Neural Network (Specific Model)	11	0.86	29582	332.2373653686827	2792279	0.51	2414	None
D300423:bin_000014	80.56	1.76	Neural Network (Specific Model)	11	0.876	12408	278.9723104857013	2101650	0.63	2203	None
D300425:bin_000002	98.93	0.29	Gradient Boost (General Model)	11	0.855	30853	289.47901364113324	1930826	0.27	1906	None
D300428:bin_000005	93.51	4.99	Neural Network (Specific Model)	11	0.9	48389	316.4773156899811	3342204	0.45	3174	None
D300429:bin_000001	93.27	2.31	Gradient Boost (General Model)	11	0.881	18845	348.3777148253069	2507500	0.56	2118	None
D300431:bin_000017	68.34	3.07	Neural Network (Specific Model)	11	0.887	4192	253.91463917525772	2077366	0.65	2425	None
D300432:bin_000001	95.93	0.94	Gradient Boost (General Model)	11	0.89	79630	301.9941818181818	2795297	0.29	2750	None
D300432:bin_000002	100.0	1.15	Neural Network (Specific Model)	11	0.896	74634	319.2201905742982	4140997	0.44	3883	None
D300433:bin_000005	98.06	5.28	Gradient Boost (General Model)	11	0.894	19793	314.2029831387808	4869608	0.52	4626	None
D300433:bin_000009	90.55	1.42	Neural Network (Specific Model)	11	0.889	29868	320.88330109606704	3351914	0.5	3102	None
D300437:bin_000010	76.07	4.43	Gradient Boost (General Model)	11	0.893	6757	302.29352226720647	2003490	0.6	1976	None
D300440:bin_000012	90.62	2.55	Gradient Boost (General Model)	11	0.896	31473	316.6282335550628	2862982	0.5	2706	None
D300442:bin_000001	95.41	0.23	Gradient Boost (General Model)	11	0.866	19562	294.47287483981205	2386391	0.26	2341	None
D300442:bin_000011	82.4	1.99	Gradient Boost (General Model)	11	0.881	9252	285.07893607893607	2259775	0.6	2331	None
D300443:bin_000002	100.0	1.11	Neural Network (Specific Model)	11	0.887	51850	296.2974777448071	2697713	0.33	2696	None
D300444:bin_000010	91.11	2.04	Gradient Boost (General Model)	11	0.906	23613	317.20983606557377	3198212	0.51	3050	None
D300444:bin_000011	79.34	2.1	Neural Network (Specific Model)	11	0.887	9309	287.5296717171717	3074978	0.62	3168	None
D300446:bin_000001	90.77	1.41	Neural Network (Specific Model)	11	0.84	39556	286.45475638051045	2639574	0.44	2586	None
D300449:bin_000002	96.95	4.91	Gradient Boost (General Model)	11	0.886	26831	316.5577130528587	2975183	0.6	2781	None
D300449:bin_000011	77.84	0.85	Neural Network (Specific Model)	11	0.855	10459	290.1603898980948	2293731	0.63	2257	None
D300450:bin_000002	90.58	1.82	Gradient Boost (General Model)	11	0.881	24675	323.42317939609234	2474074	0.56	2252	None
D300451:bin_000001	100.0	2.2	Neural Network (Specific Model)	11	0.879	15837	297.0252545824847	4965842	0.5	4910	None
D300455:bin_000019	51.71	3.73	Neural Network (Specific Model)	11	0.889	4826	265.38853812530357	1841630	0.65	2059	None
D300457:bin_000005	89.15	2.24	Neural Network (Specific Model)	11	0.903	66859	321.2123394926401	3399836	0.48	3193	None
D300458:bin_000006	98.12	0.12	Neural Network (Specific Model)	11	0.88	41655	329.9220498015157	3111616	0.36	2771	None
D300458:bin_000008	99.94	4.64	Gradient Boost (General Model)	11	0.87	16925	275.67653890824624	1632942	0.28	1722	None
D300458:bin_000017	93.73	7.24	Gradient Boost (General Model)	11	0.911	19535	314.34234234234236	3438612	0.52	3330	None
D300458:bin_000021	54.8	1.19	Gradient Boost (General Model)	11	0.887	3075	271.01185436071125	1081016	0.61	1181	None
D300459:bin_000001	99.83	0.14	Neural Network (Specific Model)	11	0.846	46093	315.04822134387354	2816448	0.59	2530	None
D300463:bin_000012	89.61	5.79	Neural Network (Specific Model)	11	0.892	29802	317.1043179212839	2786124	0.53	2617	None
D300464:bin_000017	84.17	1.63	Gradient Boost (General Model)	11	0.869	8017	291.54788507581804	2518730	0.63	2506	None
D300467:bin_000021	76.97	2.29	Gradient Boost (General Model)	11	0.901	9308	290.7231201686578	2749947	0.51	2846	None
D300472:bin_000003	91.75	1.35	Gradient Boost (General Model)	11	0.878	25309	335.5418032786885	2791757	0.52	2440	None
D300474:bin_000002	94.38	1.25	Gradient Boost (General Model)	11	0.885	24175	346.72460220318237	1918856	0.54	1634	None
D300474:bin_000012	92.57	1.46	Neural Network (Specific Model)	11	0.897	16092	324.3644589214622	2990431	0.48	2763	None
D300476:bin_000004	96.72	3.87	Neural Network (Specific Model)	11	0.903	50626	331.7344370860927	3321694	0.49	3020	None
D300476:bin_000013	72.61	2.99	Neural Network (Specific Model)	11	0.903	9385	287.7780269058296	2129253	0.61	2230	None
D300477:bin_000001	99.96	0.93	Neural Network (Specific Model)	11	0.867	37752	316.6758957654723	2687405	0.54	2456	None
D300477:bin_000007	88.34	1.03	Gradient Boost (General Model)	11	0.883	5995	274.58666666666664	2654163	0.55	2850	None
D300478:bin_000014	78.75	1.23	Gradient Boost (General Model)	11	0.849	19188	290.36516034985425	1404768	0.29	1372	None
D300479:bin_000001	99.96	0.53	Neural Network (Specific Model)	11	0.887	31518	294.4897645854657	1942229	0.37	1954	None
D300479:bin_000012	82.38	4.67	Gradient Boost (General Model)	11	0.864	9756	277.08962067528137	2304801	0.57	2399	None
D300482:bin_000009	90.72	3.87	Neural Network (Specific Model)	11	0.894	28269	323.1261758027895	3336211	0.48	3083	None
D300484:bin_000011	76.63	5.31	Gradient Boost (General Model)	11	0.882	9184	272.97913616398245	2531608	0.58	2732	None
D300490:bin_000001	99.81	3.12	Gradient Boost (General Model)	11	0.901	33771	324.34517766497464	2122614	0.53	1970	None
D300491:bin_000007	81.37	6.71	Gradient Boost (General Model)	11	0.887	5199	280.8781000420345	2255578	0.64	2379	None
D300492:bin_000001	100.0	1.31	Neural Network (Specific Model)	11	0.889	47477	307.82636295743094	2778167	0.37	2678	None
D300492:bin_000002	91.4	1.22	Neural Network (Specific Model)	11	0.874	28621	307.5660957400088	2401962	0.61	2277	None
D300492:bin_000003	96.77	2.56	Gradient Boost (General Model)	11	0.901	65879	321.7426636568849	3315623	0.53	3101	None
D300493:bin_000014	71.22	2.28	Gradient Boost (General Model)	11	0.9	4309	254.1439205955335	2044740	0.55	2418	None
D300494:bin_000016	79.85	3.21	Neural Network (Specific Model)	11	0.898	7250	291.47402597402595	2693835	0.48	2772	None
D300495:bin_000001	99.95	1.73	Neural Network (Specific Model)	11	0.889	90914	330.3468656716418	1864156	0.49	1675	None
D300495:bin_000003	95.2	0.02	Gradient Boost (General Model)	11	0.848	17918	329.81499460625673	2161095	0.5	1854	None
D300495:bin_000005	98.04	1.84	Gradient Boost (General Model)	11	0.898	56484	299.5364238410596	1810883	0.27	1812	None
D300495:bin_000010	87.22	2.96	Gradient Boost (General Model)	11	0.856	10391	272.15587266739846	1733997	0.28	1822	None
D300497:bin_000007	77.01	7.74	Gradient Boost (General Model)	11	0.893	11524	288.07946554149083	2749011	0.61	2844	None
D300498:bin_000001	99.94	1.8	Neural Network (Specific Model)	11	0.897	59687	325.5752666930067	2749836	0.48	2531	None
D300499:bin_000015	95.7	5.45	Gradient Boost (General Model)	11	0.889	20797	323.58386923901395	4069219	0.52	3732	None
D300501:bin_000003	96.02	3.57	Gradient Boost (General Model)	11	0.875	26487	313.6031211750306	3509783	0.58	3268	None
D300501:bin_000005	95.77	4.13	Gradient Boost (General Model)	11	0.877	10239	289.5640074211503	2132003	0.61	2156	None
D300503:bin_000003	91.56	2.55	Gradient Boost (General Model)	11	0.895	41540	323.8862461220269	2097184	0.55	1934	None
D300505:bin_000008	87.18	4.63	Gradient Boost (General Model)	11	0.906	9384	297.7191011235955	2891443	0.54	2937	None
D300508:bin_000006	90.75	1.9	Gradient Boost (General Model)	11	0.872	13967	289.31388012618294	2519195	0.59	2536	None
D300509:bin_000001	99.64	0.45	Gradient Boost (General Model)	11	0.895	30065	285.68053375196234	2434131	0.31	2548	None
D300512:bin_000003	92.91	1.09	Gradient Boost (General Model)	11	0.881	16242	318.6551556420234	2227612	0.54	2056	None
D300512:bin_000015	85.51	4.42	Gradient Boost (General Model)	11	0.898	16612	311.9977272727273	2287612	0.48	2200	None
D300512:bin_000016	72.54	2.85	Neural Network (Specific Model)	11	0.914	10160	305.77296278850685	2125663	0.53	2123	None
D300513:bin_000002	93.34	0.83	Gradient Boost (General Model)	11	0.922	55365	316.4421815671384	2975524	0.5	2897	None
D300514:bin_000001	98.89	4.14	Gradient Boost (General Model)	11	0.909	42741	334.90451174289245	3567105	0.56	3236	None
D300514:bin_000003	96.87	1.71	Gradient Boost (General Model)	11	0.846	21727	286.128125	1619643	0.27	1600	None
D300514:bin_000005	94.36	1.04	Gradient Boost (General Model)	11	0.885	23809	314.5585970915312	2490008	0.55	2338	None
D300517:bin_000003	88.7	1.64	Gradient Boost (General Model)	11	0.904	26473	332.20907617504054	3391694	0.5	3085	None
D300517:bin_000004	90.97	1.92	Gradient Boost (General Model)	11	0.898	16394	266.7592705167173	1461560	0.29	1645	None
D300517:bin_000013	72.48	3.43	Gradient Boost (General Model)	11	0.9	17584	329.89203276247207	1473980	0.58	1343	None
D300517:bin_000015	73.68	5.04	Gradient Boost (General Model)	11	0.879	4446	282.04149715215624	1181874	0.62	1229	None
D300519:bin_000004	95.48	2.71	Gradient Boost (General Model)	11	0.886	18802	311.7489328676756	2715923	0.54	2577	None
D300521:bin_000006	84.63	1.95	Neural Network (Specific Model)	11	0.88	14272	296.56776379477253	2086084	0.64	2066	None
D300522:bin_000007	91.32	6.15	Neural Network (Specific Model)	11	0.897	26105	330.6045571481073	3004011	0.51	2721	None
D300525:bin_000012	86.3	1.56	Gradient Boost (General Model)	11	0.884	30329	313.5901366211263	3187551	0.51	3001	None
D300526:bin_000014	86.29	2.63	Neural Network (Specific Model)	11	0.892	28346	318.21558441558443	3288674	0.46	3080	None
D300527:bin_000004	88.01	1.01	Gradient Boost (General Model)	11	0.895	19279	317.97069450020075	2650491	0.51	2491	None
TG1:bin_000020	90.31	2.27	Neural Network (Specific Model)	11	0.872	6068	264.0695825049702	1824892	0.52	2012	None
TG1:bin_000032	86.87	2.23	Neural Network (Specific Model)	11	0.853	10457	278.0268817204301	2361298	0.39	2418	None
TG1:bin_000045	70.39	6.85	Gradient Boost (General Model)	11	0.895	27052	303.47446808510637	1432099	0.28	1410	None
TG1:bin_000046	73.62	3.05	Neural Network (Specific Model)	11	0.84	3682	254.32970156324018	1915101	0.34	2111	None
TG1:bin_000047	79.76	2.84	Neural Network (Specific Model)	11	0.856	4481	257.85417628057223	1955405	0.26	2167	None
TG1:bin_000049	92.78	1.92	Neural Network (Specific Model)	11	0.885	21072	304.7112676056338	4979029	0.58	4828	None
TG1:bin_000059	53.96	1.53	Gradient Boost (General Model)	11	0.924	2957	291.5179831932773	2808738	0.45	2975	None
TG1:bin_000065	62.11	2.33	Neural Network (Specific Model)	11	0.894	2718	240.6212938005391	2987929	0.48	3710	None
TG1:bin_000066	49.51	0.78	Gradient Boost (General Model)	11	0.87	3354	236.71047227926078	1586485	0.46	1948	None
TG1_21:bin_000001	99.43	1.32	Gradient Boost (General Model)	11	0.904	38688	320.5558401639344	2072942	0.44	1952	None
TG1_21:bin_000012	96.86	3.07	Gradient Boost (General Model)	11	0.89	17327	306.54648862512363	2084500	0.52	2022	None
TG1_21:bin_000022	81.69	6.14	Neural Network (Specific Model)	11	0.912	7604	268.4063926940639	2506645	0.43	2847	None
TG1_21:bin_000035	82.21	12.8	Gradient Boost (General Model)	11	0.876	11843	307.73475518173626	3502275	0.55	3329	None
TG1_28:bin_000007	99.07	0.54	Gradient Boost (General Model)	11	0.851	58661	299.47319201995015	1689769	0.28	1604	None
TG1_28:bin_000038	74.33	4.93	Gradient Boost (General Model)	11	0.895	10815	295.43042813455656	2585629	0.51	2616	None
TG1_35:bin_000022	91.11	5.18	Neural Network (Specific Model)	11	0.875	23621	314.71580102414043	2944569	0.49	2734	None
TG2:bin_000029	79.66	2.43	Gradient Boost (General Model)	11	0.835	6081	293.44926496952314	2934164	0.64	2789	None
TG2:bin_000046	79.75	2.45	Neural Network (Specific Model)	11	0.855	6090	271.3684643886373	2307506	0.5	2429	None
TG2:bin_000054	57.11	3.91	Gradient Boost (General Model)	11	0.868	2793	234.4907552491382	2582418	0.39	3191	None
TG2:bin_000055	75.14	0.37	Neural Network (Specific Model)	11	0.895	4879	262.43104514533087	1419434	0.36	1617	None
TG2:bin_000056	52.97	2.47	Gradient Boost (General Model)	11	0.885	3501	242.46286764705883	2230129	0.42	2720	None
TG2:bin_000059	77.48	7.08	Neural Network (Specific Model)	11	0.88	9095	284.39794685990336	3204350	0.51	3312	None
TG2_21:bin_000001	99.05	0.06	Gradient Boost (General Model)	11	0.901	25403	338.14709595959596	3559586	0.46	3168	None
TG2_21:bin_000003	97.92	3.06	Neural Network (Specific Model)	11	0.879	15276	284.54068367838227	2012861	0.39	2077	None
TG2_21:bin_000011	94.26	0.44	Gradient Boost (General Model)	11	0.884	77172	284.774628879892	1428992	0.27	1482	None
TG2_21:bin_000030	78.81	1.6	Neural Network (Specific Model)	11	0.84	5390	284.8753246753247	2737401	0.55	2695	None
TG2_21:bin_000033	72.89	3.94	Neural Network (Specific Model)	11	0.915	4286	262.0203543158688	2273804	0.42	2653	None
TG2_28:bin_000003	94.18	0.09	Gradient Boost (General Model)	11	0.893	42900	334.7781690140845	2550675	0.51	2272	None
TG2_28:bin_000016	96.61	3.75	Gradient Boost (General Model)	11	0.921	18177	311.60835415922884	2835823	0.51	2801	None
TG2_35:bin_000002	97.06	1.82	Neural Network (Specific Model)	11	0.903	15920	316.734344738541	3253873	0.41	3098	None
TG2_35:bin_000003	96.05	1.17	Gradient Boost (General Model)	11	0.876	30376	300.4482522275531	2998445	0.58	2918	None
TG2_35:bin_000021	89.21	6.64	Gradient Boost (General Model)	11	0.9	24304	315.0169270833333	3219621	0.53	3072	None
TG3:bin_000005	91.66	1.13	Neural Network (Specific Model)	11	0.854	30510	344.21361213612136	2947810	0.48	2439	None
TG3:bin_000006	96.14	1.25	Gradient Boost (General Model)	11	0.905	13856	311.7361963190184	1680109	0.28	1630	None
TG3:bin_000008	99.77	4.95	Gradient Boost (General Model)	11	0.851	35524	297.43388072601556	2421094	0.5	2314	None
TG3:bin_000014	99.77	1.8	Neural Network (Specific Model)	11	0.85	23191	280.2266532054518	3906678	0.44	3962	None
TG3:bin_000026	90.36	3.9	Gradient Boost (General Model)	11	0.93	19178	338.36376604850216	2292378	0.52	2103	None
TG3:bin_000034	91.33	1.26	Neural Network (Specific Model)	11	0.773	9433	272.7363667940257	3041869	0.34	2879	None
TG3:bin_000048	87.71	1.25	Neural Network (Specific Model)	11	0.9	17505	299.81371087928466	2676738	0.46	2684	None
TG3:bin_000050	95.67	2.5	Gradient Boost (General Model)	11	0.904	21202	314.9042735042735	3051995	0.44	2925	None
TG3:bin_000065	63.13	0.89	Gradient Boost (General Model)	11	0.877	3497	256.9111111111111	2051998	0.36	2340	None
TG3:bin_000069	86.26	3.68	Gradient Boost (General Model)	11	0.85	6137	271.51474103585656	2399629	0.48	2510	None
TG3:bin_000079	56.56	2.07	Neural Network (Specific Model)	11	0.876	2727	241.0737506065017	1698850	0.41	2061	None
TG3_07:bin_000023	82.37	4.16	Gradient Boost (General Model)	11	0.91	9241	311.7221172022684	2711286	0.43	2645	None
TG3_14:bin_000007	99.96	3.12	Neural Network (Specific Model)	11	0.846	15381	285.87137809187277	2864690	0.37	2830	None
TG3_21:bin_000001	98.6	0.86	Gradient Boost (General Model)	11	0.903	46671	320.3233708966193	2167166	0.45	2041	None
TG3_21:bin_000003	100.0	0.34	Gradient Boost (General Model)	11	0.767	54225	279.5005480453051	2986995	0.35	2737	None
TG3_21:bin_000008	99.99	1.02	Neural Network (Specific Model)	11	0.886	87485	345.1441326530612	2743336	0.55	2352	None
TG3_21:bin_000030	82.13	1.97	Gradient Boost (General Model)	11	0.85	4526	284.1454545454545	2422258	0.59	2420	None
TG3_21:bin_000040	85.56	3.42	Neural Network (Specific Model)	11	0.882	9891	276.34982486865147	2142669	0.5	2284	None
TG3_21:bin_000048	84.78	6.74	Gradient Boost (General Model)	11	0.9	8952	290.02553024351926	2457129	0.47	2546	None
TG3_28:bin_000041	76.37	1.02	Neural Network (Specific Model)	11	0.913	7588	278.63768617942503	2636481	0.47	2887	None
TG3_28:bin_000042	91.64	1.6	Gradient Boost (General Model)	11	0.901	13623	313.02212732919253	2678215	0.47	2576	None
TG3_28:bin_000052	63.99	3.9	Gradient Boost (General Model)	11	0.846	4129	234.58591549295775	1473219	0.29	1775	None
TG3_35:bin_000008	92.63	1.76	Gradient Boost (General Model)	11	0.911	27868	300.6159090909091	1304384	0.51	1320	None
TG3_35:bin_000014	93.9	5.62	Gradient Boost (General Model)	11	0.885	22418	320.43349388662466	2927183	0.6	2699	None
TG3_35:bin_000020	93.34	4.95	Gradient Boost (General Model)	11	0.895	12244	294.3379061371841	2726737	0.65	2770	None
TG3_35:bin_000025	83.82	5.27	Neural Network (Specific Model)	11	0.871	9683	284.4880650076181	1925359	0.55	1969	None
TG4:bin_000031	76.93	3.34	Gradient Boost (General Model)	11	0.805	4654	250.18438761776582	2074568	0.41	2229	None
TG4:bin_000053	64.63	4.03	Gradient Boost (General Model)	11	0.888	3634	240.68620268620268	1328816	0.27	1638	None
TG4:bin_000055	78.29	1.57	Gradient Boost (General Model)	11	0.912	6027	282.39171974522293	2909419	0.43	3140	None
TG4:bin_000057	64.87	1.16	Neural Network (Specific Model)	11	0.884	3109	252.7593783494105	1597538	0.47	1866	None
TG4_07:bin_000019	89.82	2.24	Gradient Boost (General Model)	11	0.876	7848	295.33283693224126	2713577	0.6	2686	None
TG4_07:bin_000020	88.22	7.61	Neural Network (Specific Model)	11	0.894	23987	309.85287152161044	3508119	0.46	3378	None
TG4_14:bin_000026	75.53	4.31	Gradient Boost (General Model)	11	0.891	6614	281.8103257868581	3426147	0.47	3622	None
TG4_21:bin_000016	81.64	8.98	Gradient Boost (General Model)	11	0.836	11740	328.8675191815857	2302376	0.48	1955	None
TG4_21:bin_000032	80.23	3.41	Gradient Boost (General Model)	11	0.917	8688	285.24796026959916	2623468	0.49	2819	None
TG4_21:bin_000040	50.56	1.23	Gradient Boost (General Model)	11	0.899	3363	269.1359391214113	2589939	0.58	2891	None
TG4_21:bin_000043	95.76	11.62	Gradient Boost (General Model)	11	0.905	11543	293.5491403643829	3781974	0.46	3897	None
TG4_28:bin_000008	96.73	4.67	Gradient Boost (General Model)	11	0.848	20771	279.1139601139601	2073788	0.27	2106	None
TG4_35:bin_000014	90.16	4.32	Gradient Boost (General Model)	11	0.907	6214	263.4526315789474	2312768	0.31	2660	None
TG5:bin_000003	89.25	0.25	Gradient Boost (General Model)	11	0.895	30166	346.73922321809647	2718994	0.47	2343	None
TG5:bin_000041	92.77	11.05	Neural Network (Specific Model)	11	0.885	11423	288.15488431876605	4551054	0.45	4668	None
TG5:bin_000044	66.79	1.76	Gradient Boost (General Model)	11	0.889	3105	265.19924812030075	1901424	0.37	2128	None
TG5:bin_000047	82.17	4.83	Neural Network (Specific Model)	11	0.889	20648	316.0487067517635	3168647	0.47	2977	None
TG5_14:bin_000004	99.83	0.42	Neural Network (Specific Model)	11	0.889	49961	302.1726133076181	2112246	0.32	2074	None
TG5_14:bin_000008	98.49	1.81	Neural Network (Specific Model)	11	0.846	12617	292.6229246487867	3247971	0.28	3132	None
TG5_14:bin_000013	87.4	6.68	Gradient Boost (General Model)	11	0.881	44069	298.48490669593855	3698848	0.31	3644	None
TG5_14:bin_000020	99.86	2.76	Neural Network (Specific Model)	11	0.856	19715	309.0542473919523	3630330	0.38	3355	None
TG5_14:bin_000027	81.62	8.27	Neural Network (Specific Model)	11	0.886	10431	280.0779259259259	3192855	0.6	3375	None
TG5_21:bin_000003	100.0	0.58	Gradient Boost (General Model)	11	0.887	34895	311.39141414141415	2497863	0.28	2376	None
TG5_21:bin_000004	95.77	2.85	Gradient Boost (General Model)	11	0.877	22336	335.24989824989825	2812137	0.52	2457	None
TG5_21:bin_000007	95.82	0.54	Gradient Boost (General Model)	11	0.898	24539	335.19041880084364	3709129	0.47	3319	None
TG5_28:bin_000004	99.95	0.5	Neural Network (Specific Model)	11	0.893	33637	292.8039430449069	1793304	0.34	1826	None
TG5_28:bin_000015	88.62	3.59	Neural Network (Specific Model)	11	0.877	11435	287.4543634907926	2452201	0.45	2498	None
TG5_28:bin_000030	74.57	3.32	Neural Network (Specific Model)	11	0.917	6947	285.0508595988539	2599135	0.45	2792	None
TG5_35:bin_000001	99.99	0.09	Neural Network (Specific Model)	11	0.884	39230	292.76666666666665	1577486	0.4	1590	None
TG5_35:bin_000022	83.77	5.79	Gradient Boost (General Model)	11	0.892	4543	265.7297520661157	2156854	0.63	2420	None
TG5_35:bin_000028	69.68	3.56	Gradient Boost (General Model)	11	0.89	4918	272.51559454191033	1880856	0.47	2052	None
